Gene_Set_Name,Gene_Set_K,Description,Description_short,Genes_Overlap_k,k/K,pvalue,FDR_qvalue,Cluster_subset
GO_LOCOMOTION,1114,Self-propelled movement of a cell or organism from one location to another.,NA,13,0.0117,8.39E-13,6.15E-10,Cluster3
GO_REGULATION_OF_IMMUNE_RESPONSE,858,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus.",NA,12,0.014,9.36E-13,6.15E-10,Cluster3
GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,307,"Any process that modulates the frequency, rate, or extent of homotypic cell-cell adhesion.",NA,9,0.0293,1.43E-12,8.45E-10,Cluster3
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION,311,"Any process that activates or increases the frequency, rate or extent of activation.",NA,9,0.0289,1.60E-12,8.63E-10,Cluster3
GO_DEFENSE_RESPONSE,1231,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.",NA,13,0.0106,2.93E-12,1.45E-09,Cluster3
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,1649,The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane.,NA,14,0.0085,6.35E-12,2.89E-09,Cluster3
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,238,The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface.,NA,8,0.0336,9.59E-12,3.79E-09,Cluster3
GO_REGULATION_OF_CELL_CELL_ADHESION,380,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell.",NA,9,0.0237,9.60E-12,3.79E-09,Cluster3
GO_LEUKOCYTE_MIGRATION,259,The movement of a leukocyte within or between different tissues and organs of the body.,NA,8,0.0309,1.88E-11,6.97E-09,Cluster3
GO_LEUKOCYTE_ACTIVATION,414,"A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor.",NA,9,0.0217,2.06E-11,7.16E-09,Cluster3
GO_PROTEIN_DIMERIZATION_ACTIVITY,1149,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",NA,12,0.0104,2.77E-11,9.03E-09,Cluster3
GO_REGULATION_OF_CELL_ADHESION,629,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix.",NA,10,0.0159,2.90E-11,9.03E-09,Cluster3
GO_SINGLE_ORGANISM_CELL_ADHESION,459,"The attachment, via cell adhesion molecules, of a cell to either another cell of the same organism, or to an underlying substrate of the same organism such as the extracellular matrix.",NA,9,0.0196,5.13E-11,1.52E-08,Cluster3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
