Gene_Set_Name	Genes_Gene_Set_K	Systematic_name	Description	Short_Description	Genes_in_Overlap_k	k/K	p_value	FDR_q_value	Cluster_name
GSE24574_BCL6_HIGH_TFH_VS_TFH_CD4_TCELL_DN	200	M8331	Genes down-regulated in BCL6 [GeneID=604] high follicular helper T cells (Tfh) versus all Tfh.	NA	9	0.045	6.83E-14	3.33E-11	Early_PT
GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN	200	M8313	Genes down-regulated in activated T cells: CD4 [GeneID=920] versus NKT.	Up-regulated in NKT vs activated CD4 T cells	9	0.045	6.83E-14	3.33E-11	Early_PT
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	198	M7397	Genes up-regulated in the neuron cell line: immature versus mature.	NA	8	0.0404	4.51E-12	1.13E-09	Early_PT
GSE10325_CD4_TCELL_VS_BCELL_UP	200	M3076	Genes up-regulated in comparison of healthy CD4 [GeneID=920] T cells versus healthy CD19 [GeneID=920] B cells.	NA	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	200	M3084	Genes up-regulated in comparison of systemic lupus erythematosus CD4 [GeneID=920] T cells versus systemic lupus erythematosus B cells.	NA	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	200	M3087	Genes up-regulated in comparison of systemic lupus erythematosus CD4 [GeneID=920] T cells versus systemic lupus erythematosus myeloid cells.	NA	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	200	M3104	Genes up-regulated in comparison of naive T cells versus effector memory T cells.	Up-regulated in naive vs effector memory T cells	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	200	M4504	Genes up-regulated in comparison of naive CD4 [GeneID=920] T cells versus day 0 monocytes.	NA	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE22886_NAIVE_TCELL_VS_DC_UP	200	M4475	Genes up-regulated in comparison of naive CD4 [GeneID=920] CD8 T cells versus unstimulated dendritic cells (DC).	"Up-regulated in naive CD4, CD8 T cells vs DC"	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE22886_NAIVE_TCELL_VS_NKCELL_UP	200	M4413	Genes up-regulated in comparison of naive CD4 [GeneID=920] CD8 T cells versus unstimulated NK cells.	"Up-regulated in naive CD4, CD8 T cells vs unstimulated NK cells"	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_UP	200	M4586	Genes up-regulated in comparison of naive T cells at day 0 versus CD25+ regulatory T cell (Treg) treated with IL4 [GeneID=3565] at day 3.	Up-regulated in naive T cells vs Treg	8	0.04	4.89E-12	1.13E-09	Early_PT
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_DN	200	M4620	Genes down-regulated in comparison of untreated CD25+ T effector cells at day 5 versus untreated CD25- T cells at day 5.	Up-regulated in CD25- vs CD25+ effector T cells	8	0.04	4.89E-12	1.13E-09	Early_PT
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
5684	PSMA3		"proteasome (prosome, macropain) subunit, alpha type, 3"						
9235	IL32		interleukin 32						
10169	SERF2		small EDRK-rich factor 2						
7114	TMSB4X		"thymosin beta 4, X-linked"						
60672	MIIP		migration and invasion inhibitory protein						
811	CALR		calreticulin						
58515	SELK		selenoprotein K						
4708	NDUFB2		"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"						
514	ATP5E		"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"						
140823	ROMO1		reactive oxygen species modulator 1						
5688	PSMA7		"proteasome (prosome, macropain) subunit, alpha type, 7"						
3269	HRH1		histamine receptor H1						
3848	KRT1		keratin 1						
